Ticker,Prezzo,Variazione
DFE,N/A,"(-1,48%)"
XD3E,N/A,"(-0,32%)"
DJE,N/A,"(-0,40%)"
QDVE,N/A,"(+0,97%)"
UST,N/A,"(+1,05%)"
TDIV,N/A,"(-0,37%)"
XGSD,N/A,"(-0,21%)"
EUHD,N/A,"(-0,62%)"
VHYL,N/A,"(-0,24%)"
PSRW,N/A,"(+0,54%)"
HDLV,N/A,"(-0,28%)"
MLPD,N/A,"(+1,96%)"
IAPD,N/A,"(-0,33%)"
LTAM,N/A,"(+0,38%)"
EMHD,N/A,"(+0,68%)"
EUNY,N/A,"(+0,65%)"
WBIT,N/A,"(-0,50%)"
SGLD,N/A,"(-0,82%)"
XAT1,N/A,"(+0,04%)"
DTLE,N/A,"(0,08%)"
SXRH,N/A,"(0,11%)"
TREI,N/A,"(+0,03%)"
TIGR,N/A,"(-0,24%)"
XUHY,N/A,"(+0,09%)"
IGLT,N/A,"(+0,30%)"
VAGE,N/A,"(+0,14%)"
Aggiornato,2026-05-08 18:50:19,
